symbol,exchange1,exchange2,max_deviation_pct,min_deviation_pct,deviation_asymmetry,zero_crossings,zero_crossings_per_hour,zero_crossings_per_minute,opportunity_cycles_030bp,cycles_030bp_per_hour,pct_time_above_030bp,avg_cycle_duration_030bp_sec,pattern_break_030bp,opportunity_cycles_050bp,cycles_050bp_per_hour,pct_time_above_050bp,avg_cycle_duration_050bp_sec,pattern_break_050bp,opportunity_cycles_040bp,cycles_040bp_per_hour,pct_time_above_040bp,avg_cycle_duration_040bp_sec,pattern_break_040bp,data_points,duration_hours
STRK_USDT,Binance,GateIo,1.5599981700901155,-0.6073992269464368,0.04547995827093661,46839,5503.654679903693,91.72757799839489,114,13.395175676445293,0.5839177694496711,1.5692992916212773,false,17,1.9975261973646488,0.03802781260911791,0.6853483352230265,false,35,4.112553935750747,0.1333800787981515,1.1675671399691698,false,1414754,8.510526681666667
STRK_USDT,Bybit,GateIo,1.066462673806412,-0.5011041277390826,-0.0017277982333897578,35261,4153.460543634634,69.22434239391056,87,10.247896182644086,0.056894434962038616,0.19986537940365134,false,10,1.1779191014533432,0.0029944439453704536,0.09151730530588245,false,29,3.4159653942146955,0.01769444149537086,0.18647726786465074,false,367368,8.489547361666666
ETH_USDC,Binance,Bybit,0.11453968751222732,-0.23986723024661538,-0.0008319720084159765,35471,4148.070746934864,69.13451244891439,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,3112511,8.551204201666668
BTC_USDC,Binance,Bybit,0.06879985378398512,-0.1830314522769938,0.0004496453165602827,18277,2141.4058032426105,35.69009672071017,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,2166713,8.535047384444445
0G_USDT,Bybit,GateIo,0.37941273507093864,-0.5222784396931579,0.004479712901548733,15672,1921.1888081631016,32.01981346938503,5,0.6129367050035418,0.006028090903610827,0.3540516838989693,false,1,0.12258734100070837,0.001004681817268471,0.2950430699158077,false,2,0.24517468200141673,0.002009363634536942,0.2950430699158077,false,99537,8.157449144722223
XAN_USDT,Bybit,GateIo,1.5163450177235083,-0.636104408861593,0.05999409344509373,15878,1870.2639106409806,31.17106517734968,261,30.743096150478394,0.4076258537060001,0.4773276790856881,false,37,4.358216695661688,0.04492372283098122,0.3710815993902257,false,85,10.012119435979553,0.11531112265832508,0.4146175484864822,false,483058,8.489710949166666
ZORA_USDT,Bybit,GateIo,0.34687809712588,-0.3739628374430204,-0.009804210053093032,15242,1830.1000812628413,30.501668021047355,7,0.8404868500747861,0.013097181083640615,0.5609826244980615,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,99269,8.328506269166667
ASTER_USDT,Bybit,GateIo,0.45201145095676853,-0.48235036176278445,-0.00950365932662728,14668,1733.503723653851,28.891728727564182,15,1.7727403773389532,0.0070052539404553416,0.1422594899287799,false,0,0.0,0.0,0.0,false,3,0.35454807546779066,0.0010007505629221916,0.10161392137769992,false,299797,8.461475911388888
PIEVERSE_USDT,Bybit,GateIo,1.5817223198594021,-1.1844177874712258,-0.023123203033690375,14057,1670.2892146891154,27.838153578151925,535,63.570088202224994,2.105815672507861,1.1925319966384698,false,131,15.565759914937335,0.3582727784920761,0.8286020146910807,false,255,30.29976166648107,0.9250564616710729,1.0990856293433753,false,207675,8.415907781944444
DOGE_USDT,Bybit,GateIo,0.11305112423061203,-0.08816120906801617,0.0016959509174172458,11731,1393.6266737200199,23.227111228667,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,305995,8.417605820277778
AAVE_USDT,Bybit,GateIo,0.23562412342215122,-0.29952191694027075,0.005175441767986327,11701,1370.0014258099025,22.83335709683171,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,317297,8.540867023611112
SUI_USDT,Binance,GateIo,0.19352887813728348,-0.13256206314774532,0.0005225610286522141,10784,1263.1240783114854,21.05206797185809,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,923226,8.537561895277777
ETH_USDT,Bybit,GateIo,0.14675167107027765,-0.1455969147785674,-0.005045142004578019,9934,1165.43084340253,19.423847390042166,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,757362,8.523886300277777
HYPE_USDT,Bybit,GateIo,0.2359108781127217,-0.35176143224654455,-0.015875079484577635,9458,1126.188316361892,18.7698052726982,1,0.11907256463965869,0.000568808800609763,0.17197174583347552,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,175825,8.398240207777777
XRP_USDC,Binance,Bybit,0.15301154541662587,-0.13014176156170842,-0.0039033507381864524,9560,1122.5062149555451,18.708436915925752,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,831007,8.516656631944445
VIRTUAL_USDT,Bybit,GateIo,0.1496725912067287,-0.18320051296143447,-0.004778181674586906,9080,1084.8646482600582,18.08107747100097,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,0,0.0,0.0,0.0,false,234507,8.3697077
ZK_USDT,Bybit,GateIo,0.9345794392523255,-0.5114566284779021,-0.006945444373914409,8985,1063.383136617014,17.723052276950234,20,2.367018668040098,0.033941560366568854,0.5162173791422668,false,3,0.35505280020601476,0.0021482000232005602,0.21781324014441636,false,9,1.0651584006180443,0.006014960064961569,0.20329235746812194,false,232779,8.44944751388889
